2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration calendar_time -> org.hibernate.type.CalendarTimeType@6aecbb8d
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration locale -> org.hibernate.type.LocaleType@4c398c80
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@4c398c80
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration currency -> org.hibernate.type.CurrencyType@40cb698e
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@40cb698e
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration timezone -> org.hibernate.type.TimeZoneType@4d18aa28
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@4d18aa28
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration class -> org.hibernate.type.ClassType@6cfcd46d
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@6cfcd46d
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@58c34bb3
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@58c34bb3
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@62f4ff3b
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration binary -> org.hibernate.type.BinaryType@53d1b9b3
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration byte[] -> org.hibernate.type.BinaryType@53d1b9b3
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration [B -> org.hibernate.type.BinaryType@53d1b9b3
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@788fcafb
